Date,High,Low,Open,Close,Volume,Adj Close
1993-11-15,46.6875,46.4375,46.6875,46.5625,243300.0,27.44710922241211
1993-11-16,46.8125,46.46875,46.65625,46.78125,492600.0,27.5760498046875
1993-11-17,46.8125,46.40625,46.8125,46.53125,39600.0,27.428678512573242
1993-11-18,46.5625,46.28125,46.46875,46.40625,240800.0,27.355003356933594
1993-11-19,46.375,46.21875,46.25,46.3125,106000.0,27.299726486206055
1993-11-22,46.21875,45.875,46.1875,46.03125,165300.0,27.13394546508789
1993-11-23,46.3125,46.03125,46.28125,46.28125,89700.0,27.281299591064453
1993-11-24,46.5,46.34375,46.40625,46.46875,77200.0,27.39183807373047
1993-11-26,46.59375,46.46875,46.59375,46.5,1019800.0,27.41026496887207
1993-11-29,46.71875,46.3125,46.625,46.3125,517500.0,27.299726486206055
1993-11-30,46.5625,46.25,46.28125,46.34375,230000.0,27.318145751953125
1993-12-01,46.625,46.40625,46.59375,46.40625,379200.0,27.355003356933594
1993-12-02,46.5625,46.40625,46.5,46.53125,352000.0,27.428678512573242
1993-12-03,46.71875,46.5,46.5,46.71875,306000.0,27.539207458496094
1993-12-06,46.9375,46.78125,46.78125,46.875,99500.0,27.63130760192871
1993-12-07,46.90625,46.78125,46.875,46.84375,88800.0,27.612895965576172
1993-12-08,46.84375,46.78125,46.84375,46.84375,146700.0,27.612895965576172
1993-12-09,46.90625,46.625,46.84375,46.6875,416500.0,27.520782470703125
1993-12-10,46.71875,46.5,46.71875,46.59375,412900.0,27.465526580810547
1993-12-13,46.875,46.53125,46.59375,46.875,273200.0,27.63130760192871
1993-12-14,46.90625,46.53125,46.90625,46.53125,41900.0,27.428678512573242
1993-12-15,46.625,46.46875,46.59375,46.46875,82600.0,27.39183807373047
1993-12-16,46.65625,46.5625,46.65625,46.625,78200.0,27.48394203186035
1993-12-17,46.59375,46.375,46.40625,46.5625,104700.0,27.634994506835938
1993-12-20,46.65625,46.5,46.53125,46.625,68800.0,27.672082901000977
1993-12-21,46.5625,46.40625,46.5625,46.46875,205700.0,27.57935333251953
1993-12-22,46.8125,46.5,46.59375,46.78125,410300.0,27.76482391357422
1993-12-23,46.84375,46.6875,46.75,46.75,533800.0,27.746292114257812
1993-12-27,47.0,46.75,46.75,47.0,447100.0,27.894651412963867
1993-12-28,47.125,46.9375,46.96875,47.09375,880600.0,27.950281143188477
1993-12-29,47.15625,47.0,47.125,47.03125,266700.0,27.913185119628906
1993-12-30,47.0,46.75,47.0,46.84375,219900.0,27.801921844482422
1993-12-31,47.0,46.5625,46.9375,46.59375,312900.0,27.65353775024414
1994-01-03,46.65625,46.40625,46.59375,46.46875,960900.0,27.57935333251953
1994-01-04,46.65625,46.46875,46.53125,46.65625,164300.0,27.690622329711914
1994-01-05,46.78125,46.53125,46.71875,46.75,710900.0,27.746292114257812
1994-01-06,46.84375,46.6875,46.8125,46.75,201000.0,27.746292114257812
1994-01-07,47.0625,46.71875,46.84375,47.03125,775500.0,27.913185119628906
1994-01-10,47.59375,46.96875,47.09375,47.59375,593700.0,28.247051239013672
1994-01-11,47.5625,47.34375,47.5625,47.5,295200.0,28.1914119720459
1994-01-12,47.53125,47.1875,47.53125,47.34375,158400.0,28.098670959472656
1994-01-13,47.3125,47.15625,47.21875,47.21875,244300.0,28.024473190307617
1994-01-14,47.5,47.375,47.375,47.40625,137200.0,28.13574981689453
1994-01-17,47.46875,47.3125,47.40625,47.40625,17700.0,28.13574981689453
1994-01-18,47.53125,47.375,47.46875,47.46875,166400.0,28.172842025756836
1994-01-19,47.46875,47.25,47.40625,47.34375,200800.0,28.098670959472656
1994-01-20,47.5,47.375,47.40625,47.46875,281100.0,28.172842025756836
1994-01-21,47.53125,47.34375,47.53125,47.375,85600.0,28.117206573486328
1994-01-24,47.5625,47.1875,47.34375,47.1875,373800.0,28.005939483642578
1994-01-25,47.25,47.09375,47.21875,47.1875,310400.0,28.005939483642578
1994-01-26,47.34375,47.125,47.1875,47.3125,145100.0,28.080127716064453
1994-01-27,47.8125,47.34375,47.40625,47.75,344500.0,28.339767456054688
1994-01-28,48.03125,47.875,47.9375,47.875,356500.0,28.413965225219727
1994-01-31,48.3125,48.0,48.0625,48.21875,313800.0,28.617982864379883
1994-02-01,48.15625,47.90625,48.15625,47.96875,303600.0,28.4696102142334
1994-02-02,48.28125,48.09375,48.125,48.28125,307600.0,28.65506362915039
1994-02-03,48.1875,47.90625,48.1875,48.0625,466100.0,28.525245666503906
1994-02-04,48.125,46.96875,48.0625,46.96875,1403200.0,27.876096725463867
1994-02-07,47.3125,46.84375,46.84375,47.1875,516400.0,28.005939483642578
1994-02-08,47.28125,47.03125,47.28125,47.21875,188200.0,28.024473190307617
1994-02-09,47.4375,47.1875,47.25,47.40625,144600.0,28.13574981689453
1994-02-10,47.40625,47.0,47.375,47.0,883900.0,27.894651412963867
1994-02-11,47.28125,46.8125,47.03125,47.15625,519400.0,27.987388610839844
1994-02-14,47.375,47.0,47.0625,47.21875,2742100.0,28.024473190307617
1994-02-15,47.5,47.25,47.3125,47.46875,374700.0,28.172842025756836
1994-02-16,47.53125,47.34375,47.53125,47.4375,287600.0,28.1542911529541
1994-02-17,47.6875,47.03125,47.65625,47.15625,342400.0,27.987388610839844
1994-02-18,47.21875,46.75,47.1875,46.875,313300.0,27.820453643798828
1994-02-22,47.34375,47.0,47.0,47.34375,154500.0,28.098670959472656
1994-02-23,47.4375,47.0625,47.40625,47.21875,391700.0,28.024473190307617
1994-02-24,47.0625,46.5625,47.0625,46.59375,770800.0,27.65353775024414
1994-02-25,46.8125,46.5625,46.65625,46.8125,531300.0,27.783357620239258
1994-02-28,47.0625,46.8125,46.9375,46.8125,333000.0,27.783357620239258
1994-03-01,46.90625,46.375,46.8125,46.625,423600.0,27.672082901000977
1994-03-02,46.6875,45.90625,46.03125,46.6875,581500.0,27.709171295166016
1994-03-03,46.625,46.4375,46.625,46.5625,223200.0,27.634994506835938
1994-03-04,46.8125,46.40625,46.5625,46.6875,595800.0,27.709171295166016
1994-03-07,47.0,46.84375,46.84375,46.9375,539800.0,27.857555389404297
1994-03-08,46.96875,46.6875,46.96875,46.75,880300.0,27.746292114257812
1994-03-09,47.0,46.59375,46.8125,46.96875,2500100.0,27.876096725463867
1994-03-10,46.9375,46.4375,46.9375,46.59375,207400.0,27.65353775024414
1994-03-11,46.90625,46.40625,46.65625,46.84375,576600.0,27.801921844482422
1994-03-14,47.03125,46.84375,47.03125,46.90625,345900.0,27.839008331298828
1994-03-15,47.09375,46.84375,47.0,46.875,748600.0,27.820453643798828
1994-03-16,47.25,46.78125,46.9375,47.25,455500.0,28.043027877807617
1994-03-17,47.3125,47.09375,47.09375,47.25,133000.0,28.043027877807617
1994-03-18,47.03125,46.71875,46.75,46.96875,365500.0,28.036895751953125
1994-03-21,46.9375,46.71875,46.8125,46.84375,324800.0,27.962299346923828
1994-03-22,47.0625,46.75,46.84375,46.96875,435700.0,28.036895751953125
1994-03-23,47.0625,46.90625,46.9375,46.9375,698500.0,28.018259048461914
